Exchange Date,Close,Open,Low,High,Volume
7/6/2010,500.82,505.75,500.7,505.75,52537000
7/5/2010,506.54,505.67,504.54,507.08,39615000
7/2/2010,503.65,505.15,502.5,505.55,42322000
7/1/2010,504.02,504.11,503.65,506.61,47259000
6/30/2010,507.14,501.19,501.06,507.14,59175000
6/29/2010,510.71,509.84,509.46,511.37,46607000
6/28/2010,507.28,505.37,505.26,507.71,48064000
6/25/2010,505.12,506.06,505.12,509.57,52234000
6/24/2010,511.67,513.57,511.67,514.95,53136000
6/23/2010,512.82,510.27,508.84,514.4,49290000
6/22/2010,512.63,513.23,511.31,515.39,78391000
6/21/2010,514.75,515.08,513.95,515.76,48629000
6/18/2010,511.18,511.93,509.35,514.04,63451000
6/17/2010,510.76,510.3,508.36,511.16,53974000
6/16/2010,510.72,510.35,510.35,513.07,51049000
6/15/2010,508.01,509.3,506.5,510.18,48883000
6/14/2010,508.32,506.55,506.31,509.35,46152000
6/11/2010,504.29,505.07,504.29,506.75,44680000
6/10/2010,500.51,497,495.4,500.61,33460000
6/9/2010,497.56,500.12,497.24,502.53,34336000
6/8/2010,497.19,494.08,493.2,497.95,38514000
6/7/2010,496.89,498.94,494.98,502.18,52054000
6/4/2010,510.37,511.85,508.75,513,52556000
6/3/2010,511.16,516.15,511.16,516.22,51116000
6/2/2010,510.74,505.18,504.79,511.1,40664000
6/1/2010,508.68,505.18,503.65,509.13,37922000
5/31/2010,507.44,510.54,506.32,513.44,44805000
5/28/2010,512.99,509.47,506.43,513.34,58907000
5/27/2010,497.16,491.63,489.75,497.16,41763000
5/26/2010,492.69,491.45,488.29,492.69,41377000
5/25/2010,486.25,484.8,482.86,490.33,43968000
5/24/2010,486.19,485.1,479.56,489.62,44277000
5/21/2010,483.69,487.76,482.16,490.3,61057000
5/20/2010,503.55,481.8,481.68,503.55,59955000
5/19/2010,494.9,503.66,494.9,504.57,60056000
5/18/2010,508.3,510.49,505.13,510.75,45372000
5/17/2010,511.27,521.3,509.5,521.67,55105000
5/14/2010,520.72,522.92,519.98,523.48,45565000
5/13/2010,518.93,521.93,516.11,524.2,60289000
5/12/2010,519.6,527.52,519.6,527.52,69351000
5/11/2010,534.36,537.85,532.72,539.93,69189000
5/10/2010,534.38,541.49,532.4,541.49,82678000
5/7/2010,542.03,548.22,536.51,548.22,112500000
5/6/2010,549.51,549.19,547.02,551.4,81309000
5/5/2010,548.01,548.75,546.13,551.39,86716000
5/4/2010,549.12,544.52,544.52,550.61,89164000
4/29/2010,542.37,541.44,541.19,542.74,74877000
4/28/2010,539.2,536.08,536.08,539.83,60976000
4/27/2010,535.72,532.58,531.57,536.23,57598000
4/26/2010,531.21,531.69,531.21,535.41,69629000
4/22/2010,529.31,521.9,521.9,534.53,79844000
4/21/2010,519.7,517.54,517.54,520.2,56681000
4/20/2010,515.2,517.36,515.2,519.72,58670000
4/19/2010,516.74,521.35,516.74,521.69,61099000
4/16/2010,522.03,523.72,521.53,523.99,63134000
4/15/2010,521.49,521.01,518.39,521.49,53710000
4/14/2010,516.21,518.57,515.81,518.74,45148000
4/13/2010,517.98,521.04,517.98,523.23,53749000
4/12/2010,519.93,522.12,519.5,523.16,54416000
4/9/2010,517.42,517.06,516.4,519.61,63626000
4/8/2010,515.93,515.72,514.74,519.4,55890000
4/7/2010,515.82,516.21,512.54,517.26,51478000
4/6/2010,515.33,517.48,515.33,520.31,68801000
4/5/2010,514.79,514.17,513.45,516.27,44731000
4/2/2010,510.48,510.38,508.54,513.1,43467000
4/1/2010,508.18,500.31,499.99,508.91,53669000
3/31/2010,499.24,501.85,499.24,504,52761000
3/30/2010,500.72,504.71,500.72,506.29,59878000
3/29/2010,505.67,506.7,504.05,509.15,37747000
3/26/2010,505.3,505.51,501.64,506.4,63115000
3/25/2010,503.39,507.85,502.16,508.83,52073000
3/24/2010,512.12,511.05,508.75,512.87,46053000
3/23/2010,506.53,512.21,506.53,513.07,45894000
3/22/2010,511.58,515.71,511.58,517.79,42563000
3/19/2010,515.99,520.14,515.99,521.22,54358000
3/18/2010,519.73,515.24,510.47,519.73,46311000
3/17/2010,510.85,519.9,510.85,520.14,51315000
3/16/2010,516.08,526.06,516.08,529.55,67291000
3/15/2010,531.86,538.01,531.55,538.01,56567000
3/12/2010,531.51,528.9,526.7,531.51,55971000
3/11/2010,524.64,526.93,524.37,529.53,52454000
3/10/2010,525.67,526.28,522.81,529.63,57896000
3/9/2010,527.27,520.75,520.13,527.3,62409000
3/8/2010,521.12,517,517,522.83,55969000
3/5/2010,513.39,512.72,509.61,514.47,45560000
3/4/2010,511.91,510.93,510.93,516.77,50963000
3/3/2010,507.32,505.04,501.96,507.32,37832000
3/2/2010,501,503.98,500.08,505.59,43300000
3/1/2010,503.01,502.57,502.43,505.34,35077000
